S.NO,GENDER,REGION,SSLC MARKS,BOARD,PUC MARKS,BOARD,CGPA,INTERNSHIP,WORK EXPERIENCE,BRANCH,STATUS
1,Male, Urban,87.6, CBSE,95, CBSE,8.7, Yes,No, CS,Placed
2,Male, Rural,78.4, State Board,85, State Board,7.8, No,No, EC,NotPlaced
3,Female, Urban,92.5, ICSE,90.2, State Board,9.1, Yes,No, IS,Placed
4,Female, Rural,83.9, State Board,81.6, State Board,7.5, No,No, ME,NotPlaced
5,Female, Rural,79.3, State Board,82, State Board,8.3, Yes,No, CS,Placed
6,Male, Urban,88.9, CBSE,92.8, CBSE,9.4, Yes,No, EE,Placed
7,Male, Rural,75.6, ICSE,87.6, State Board,7.2, No,No, CV,NotPlaced
8,Male, Rural,86.4, State Board,84.1, State Board,8.8, Yes,No, IS,Placed
9,Male, Urban,81.9, CBSE,82.1, CBSE,7.6, No, Yes, EC,NotPlaced
10,Female, Urban,84.3, ICSE,85.6, State Board,8.1, Yes, Yes, CS,Placed
11,Male, Rural,89.2, ICSE,89.7, State Board,8.6, Yes, Yes, ME,Placed
12,Female, Urban,86.5, State Board,94.3, State Board,8.8, Yes, Yes, EE,Placed
13,Male, Rural,79.1, CBSE,92.1, CBSE,7.1, No, No, IS,NotPlaced
14,Female, Urban,73.8, State Board,83.2, State Board,8.4, Yes, No, CS,Placed
15,Female, Rural,68.9, State Board,80.4, State Board,6.9, No, No, EC,NotPlaced
16,Male, Urban,77.3, CBSE,96.2, CBSE,7.8, Yes, Yes, ME,NotPlaced
17,Female, Rural,84.7, State Board,86.9, State Board,8.9, Yes, Yes, EE,Placed
18,Male, Urban,92.3, ICSE,94.1, State Board,9.1, Yes, Yes, CS,Placed
19,Female, Rural,70.2, CBSE,81.3, CBSE,7.5, No, No, CV,NotPlaced
20,Female, Urban,75.8, State Board,90.7, State Board,8.2, Yes, No, IS,Placed
21,Female, Rural,72.6, ICSE,89.4, State Board,7.9, No, No, ME,NotPlaced
22,Male, Urban,92.8, State Board,94.7, State Board,9.1, Yes, Yes, EE,Placed
23,Male, Urban,88.3, CBSE,96.4, CBSE,8.3, Yes, Yes, EC,Placed
24,Female, Rural,82.5, State Board,86.3, State Board,8, No, Yes, CS,Placed
25,Male, Urban,85.7, State Board,90.8, State Board,8.2, No, No, ME,NotPlaced
26,Female, Rural,79.6, CBSE,83.2, CBSE,7.8, No, Yes, IS,NotPlaced
27,Male, Urban,73.5, State Board,81.3, State Board,8.6, Yes, Yes, CS,Placed
28,Male, Rural,77.2, ICSE,85.6, State Board,7.5, No, No, EE,NotPlaced
29,Female, Rural,88.9, State Board,87.9, State Board,8.1, No, No, EC,NotPlaced
30,Female, Urban,85.3, CBSE,93.8, CBSE,8.9, Yes, No, CV,Placed
31,Male, Rural,84.7, ICSE,94.2, State Board,8.2, Yes, No, EE,Placed
32,Female, Urban,66.8, State Board,83.4, State Board,7.1, No, No, ME,NotPlaced
33,Male, Rural,79.3, CBSE,90.1, CBSE,7.9, No, No, CV,NotPlaced
34,Female, Urban,75.2, State Board,86.3, State Board,8.6, Yes, No, EC,Placed
35,Male, Urban,85.4, ICSE,95.8, State Board,8.8, Yes, No, CS,Placed
36,Male, Rural,72.5, State Board,87.9, State Board,7.5, No, No, EE,Not Placed
37,Female, Urban,88.6, CBSE,92.4, CBSE,8.2, Yes, Yes, ME,Placed
38,Male, Rural,77.4, State Board,90.2, State Board,7.3, No, Yes, IS,NotPlaced
39,Male, Urban,86.7, ICSE,83.5, State Board,8.9, Yes, Yes, CS,Placed
40,Female, Rural,71.9, State Board,84.7, State Board,8.1, No, No, EC,NotPlaced
41,Male, Urban,78.5, State Board,85.5, State Board,7.3, No, No, CS,NotPlaced
42,Male, Urban,85.2, CBSE,92.3, CBSE,7.9, Yes, No, ME,Placed
43,Female, Rural,76.3, State Board,80.4, State Board,7.5, No, No, IS,NotPlaced
44,Male, Urban,83.4, ICSE,89.5, State Board,8.7, Yes, No, CS,Placed
45,Female, Rural,69.8, State Board,75.6, State Board,6.8, No, No, CV,NotPlaced
46,Male, Urban,82.7, CBSE,91.8, CBSE,8.5, Yes, No, EE,NotPlaced
47,Female, Rural,78.9, State Board,86.7, State Board,7.9, No, No, ME,NotPlaced
48,Male, Urban,89.3, ICSE,92.5, State Board,8.9, Yes, Yes, CS,Placed
49,Female, Rural,74.7, CBSE,82.1, CBSE,7.3, No, Yes, IS,Placed
50,Male, Urban,87.6, CBSE,95, CBSE,8.7, Yes, Yes, CS,Placed
51,Female, Rural,78.4, State Board,85, State Board,7.8, No, Yes, EC,NotPlaced
52,Male, Urban,92.5, ICSE,90.2, State Board,9.1, Yes, Yes, IS,Placed
53,Male, Rural,83.9, State Board,81.6, State Board,7.5, No, Yes, ME,NotPlaced
54,Female, Rural,79.3, State Board,82, State Board,8.3, Yes, Yes, CS,Placed
55,Male, Urban,88.9, CBSE,92.8, CBSE,9.4, Yes, Yes, EE,Placed
56,Female, Rural,75.6, ICSE,87.6, State Board,7.2, No, No, CV,NotPlaced
57,Male, Rural,86.4, State Board,84.1, State Board,8.8, Yes, Yes, IS,Placed
58,Female, Urban,81.9, CBSE,82.1, CBSE,7.6, No, Yes, EC,NotPlaced
59,Male, Urban,84.3, ICSE,85.6, State Board,8.1, Yes, Yes, CS,Placed
60,Male, Rural,89.2, ICSE,89.7, State Board,8.6, Yes, Yes, ME,Placed
61,Female, Urban,86.5, State Board,94.3, State Board,8.8, Yes, Yes, EE,Placed
62,Female, Rural,79.1, CBSE,92.1, CBSE,7.1, No, No, IS,NotPlaced
63,Male, Urban,73.8, State Board,83.2, State Board,8.4, Yes, Yes, CS,Placed
64,Male, Rural,68.9, State Board,80.4, State Board,6.9, No, No, EC,NotPlaced
65,Male, Urban,77.3, CBSE,96.2, CBSE,7.8, Yes, Yes, ME,NotPlaced
66,Female, Rural,84.7, State Board,86.9, State Board,8.9, Yes,No, EE,Placed
67,Male, Urban,92.3, ICSE,94.1, State Board,9.1, Yes,No, CS,Placed
68,Female, Rural,70.2, CBSE,81.3, CBSE,7.5, No, No, CV,NotPlaced
69,Male, Urban,75.8, State Board,90.7, State Board,8.2, Yes, No, IS,Placed
70,Male, Rural,72.6, ICSE,89.4, State Board,7.9, No, No, ME,NotPlaced
71,Male, Urban,92.8, State Board,94.7, State Board,9.1, Yes, Yes, EE,Placed
72,Female, Urban,88.3, CBSE,96.4, CBSE,8.3, Yes, Yes, EC,Placed
73,Male, Rural,82.5, State Board,86.3, State Board,8, No, Yes, CS,Placed
74,Female, Urban,85.7, State Board,90.8, State Board,8.2, No, No, ME,NotPlaced
75,Male, Rural,79.6, CBSE,83.2, CBSE,7.8, No, No, IS,NotPlaced
76,Male, Urban,73.5, State Board,81.3, State Board,8.6, Yes, No, CS,Placed
77,Female, Rural,77.2, ICSE,85.6, State Board,7.5, No, No, EE,NotPlaced
78,Male, Rural,88.9, State Board,87.9, State Board,8.1, No, No, EC,NotPlaced
79,Female, Urban,85.3, CBSE,93.8, CBSE,8.9, Yes, No, CV,Placed
80,Female, Rural,84.7, ICSE,94.2, State Board,8.2, Yes, No, EE,Placed
81,Male, Urban,66.8, State Board,83.4, State Board,7.1, No, No, ME,NotPlaced
82,Female, Rural,79.3, CBSE,90.1, CBSE,7.9, No, No, CV,NotPlaced
83,Male, Urban,75.2, State Board,86.3, State Board,8.6, Yes, No, EC,Placed
84,Male, Urban,85.4, ICSE,95.8, State Board,8.8, Yes, No, CS,Placed
85,Female, Rural,72.5, State Board,87.9, State Board,7.5, No, No, EE,NotPlaced
86,Male, Urban,88.6, CBSE,92.4, CBSE,8.2, Yes, Yes, ME,Placed
87,Female, Rural,77.4, State Board,90.2, State Board,7.3, No, Yes, IS,NotPlaced
88,Male, Urban,86.7, ICSE,83.5, State Board,8.9, Yes, Yes, CS,Placed
89,Female, Rural,71.9, State Board,84.7, State Board,8.1, No, No, EC,NotPlaced
90,Male, Urban,78.5, State Board,85.5, State Board,7.3, No, No, CS,NotPlaced
91,Female, Rural,79.2, ICSE,86.7, State Board,7,. No, No, CV,NotPlaced
92,Male, Urban,85.2, CBSE,92.3, CBSE,7.9, Yes, No, ME,Placed
93,Female, Rural,76.3, State Board,80.4, State Board,7.5, No, No, IS,NotPlaced
94,Male, Urban,83.4, ICSE,89.5, State Board,8.7, Yes, No, CS,Placed
95,Female, Rural,69.8, State Board,75.6, State Board,6.8, No, No, CV,NotPlaced
96,Male, Urban,82.7, CBSE,91.8, CBSE,8.5, Yes, No, EE,Placed
97,Female, Rural,78.9, State Board,86.7, State Board,7.9, No, No, ME,NotPlaced
98,Male, Urban,89.3, ICSE,92.5, State Board,8.9, Yes, Yes, CS,Placed
99,Female, Rural,74.7, CBSE,82.1, CBSE,7.3, No,No, IS,NotPlaced
100,Male, Urban,87.6, CBSE,95, CBSE,8.7, Yes,No, CS,Placed
101,Female, Rural,78.4, State Board,85, State Board,7.8, No, Yes, EC,NotPlaced
102,Male, Urban,92.5, ICSE,90.2, State Board,9.1, Yes,No, IS,Placed
103,Male, Rural,83.9, State Board,81.6, State Board,7.5, No,No, ME,NotPlaced
104,Female, Rural,79.3, State Board,82, State Board,8.3, Yes,No, CS,Placed
